epoch,train_loss,val_pr,time_s
1,0.1594131420175178,0.5448410136032916,9.0
2,0.019222910950541017,0.6302718261084078,8.7
3,0.016956108903203287,0.6476083613311203,8.8
4,0.015408447025142305,0.684619267413164,8.9
5,0.014018364560156553,0.7310943394976127,9.0
6,0.013048843921226178,0.7073050329604527,9.1
7,0.01231145254534426,0.7441996342245921,9.1
8,0.011697715751609794,0.7317972563008036,8.9
9,0.011207635520352024,0.7463406265826648,8.9
10,0.010236963893422175,0.7788244509594404,8.9
11,0.00985574651745621,0.7585150201112352,8.8
12,0.10729405629186306,0.698612930727767,8.9
13,0.011789287437064526,0.755586664310662,8.9
14,0.009844324248868472,0.7811140016134106,9.2
15,0.008934578759008225,0.8092201710874615,9.0
16,0.008258724019872373,0.783103536717775,9.0
17,0.007709012322307727,0.7988347459410826,8.9
18,0.007539589938665308,0.7902839142410447,8.7
19,0.007220422263398443,0.7914782687706987,9.1
20,0.005807309418672175,0.8310654752758004,8.7
21,0.005317695307302822,0.8064029364119034,9.0
22,0.005313911843145171,0.8145895114430196,9.1
23,0.005171698449314134,0.8052604119314336,8.7
24,0.0050774194143224476,0.8172546613528003,9.1
25,0.004008353522293524,0.8398321494255443,8.8
26,0.003677662622255127,0.8246301797291771,9.0
27,0.0035528657866679162,0.8319540362800617,8.8
28,0.0035501843574833733,0.822865199379016,9.0
29,0.0035473400868074605,0.8107708960678871,8.9
30,0.002800487676335299,0.842687783734058,9.1
31,0.0025539277363050726,0.8403069526020633,9.0
32,0.0025199668901882202,0.839693890001842,8.8
33,0.00247836144933262,0.8347824698695974,8.9
34,0.0024028700049404834,0.8365467703045407,8.8
35,0.002008498039942447,0.8443166558114514,8.9
36,0.0018187177816282143,0.8403385686300733,8.9
37,0.001832083017971252,0.8484287463085274,8.9
38,0.001832888874423928,0.8364927156779068,9.1
39,0.0017379274661031344,0.8370219743991626,9.0
40,0.0018015107240351253,0.8433475366665117,9.1
