round,train_logloss,val_pr_auc,time_s
202,0.2874,0.64,0.1
203,0.2867,0.6405,0.1
204,0.2865,0.641,0.1
205,0.2858,0.6423,0.1
206,0.2855,0.6427,0.1
207,0.2854,0.643,0.1
208,0.2851,0.6433,0.1
209,0.2846,0.6439,0.1
210,0.2842,0.6446,0.1
211,0.2837,0.6447,0.1
212,0.2832,0.6454,0.1
213,0.2828,0.6458,0.1
214,0.2824,0.6463,0.1
215,0.282,0.6465,0.1
216,0.2815,0.647,0.1
217,0.2812,0.6471,0.1
218,0.2811,0.6474,0.1
219,0.2805,0.6476,0.1
220,0.2801,0.6484,0.1
221,0.2796,0.6491,0.1
222,0.2791,0.6497,0.1
223,0.2787,0.6502,0.1
224,0.2784,0.6509,0.1
225,0.2778,0.6513,0.1
226,0.2773,0.6519,0.1
227,0.277,0.6523,0.1
228,0.2767,0.6525,0.1
229,0.2762,0.6528,0.1
230,0.276,0.6532,0.1
231,0.2757,0.6536,0.1
232,0.2754,0.6543,0.1
233,0.275,0.655,0.1
234,0.2746,0.6556,0.1
235,0.2743,0.656,0.1
236,0.2741,0.6564,0.1
237,0.2734,0.6573,0.1
238,0.2733,0.6577,0.1
239,0.273,0.6579,0.1
240,0.2728,0.6582,0.1
241,0.2724,0.6585,0.1
242,0.2722,0.6589,0.1
243,0.272,0.659,0.1
244,0.2717,0.6595,0.1
245,0.2713,0.6597,0.1
246,0.271,0.6598,0.1
247,0.2705,0.6602,0.1
248,0.2702,0.6602,0.1
249,0.2699,0.6606,0.1
250,0.2698,0.6608,0.1
251,0.2696,0.6611,0.1
252,0.2693,0.6614,0.1
253,0.269,0.6617,0.1
254,0.2688,0.6619,0.1
255,0.2685,0.6623,0.1
256,0.2683,0.6624,0.1
257,0.268,0.6626,0.1
258,0.2677,0.663,0.1
259,0.2673,0.6631,0.1
260,0.267,0.6632,0.1
261,0.2665,0.6639,0.1
262,0.2662,0.6642,0.1
263,0.2658,0.6644,0.1
264,0.2655,0.6649,0.1
265,0.265,0.6654,0.1
266,0.2647,0.6656,0.1
267,0.2639,0.6665,0.1
268,0.2637,0.6668,0.1
269,0.2633,0.667,0.1
270,0.263,0.6673,0.1
271,0.2628,0.6672,0.1
272,0.2625,0.6675,0.1
273,0.262,0.6682,0.1
274,0.2617,0.6685,0.1
275,0.2615,0.6687,0.1
276,0.2613,0.6693,0.1
277,0.261,0.6694,0.1
278,0.2607,0.6699,0.1
279,0.2604,0.6702,0.1
280,0.26,0.6709,0.1
281,0.2597,0.6712,0.1
282,0.2593,0.6715,0.1
283,0.2589,0.6721,0.1
284,0.2587,0.6721,0.1
285,0.2585,0.6727,0.1
286,0.2582,0.673,0.1
287,0.2578,0.6733,0.1
288,0.2575,0.674,0.1
289,0.2574,0.6741,0.1
290,0.2573,0.6742,0.1
291,0.2571,0.6745,0.1
292,0.2567,0.6748,0.1
293,0.2563,0.6752,0.1
294,0.2561,0.6753,0.1
295,0.2557,0.6757,0.1
296,0.2553,0.676,0.1
297,0.2551,0.6762,0.1
298,0.2548,0.6767,0.1
299,0.2546,0.6772,0.1
300,0.254,0.678,0.1
301,0.2536,0.6781,0.1
302,0.2533,0.6783,0.1
303,0.2532,0.6784,0.1
304,0.2529,0.6788,0.1
305,0.2528,0.679,0.1
306,0.2523,0.6792,0.1
307,0.2519,0.6799,0.1
308,0.2516,0.6803,0.1
309,0.2515,0.6804,0.1
310,0.2513,0.6805,0.1
311,0.2512,0.6804,0.1
312,0.2511,0.6805,0.1
313,0.2507,0.6807,0.1
314,0.2503,0.6809,0.1
315,0.2499,0.6812,0.1
316,0.2496,0.6815,0.1
317,0.2495,0.6819,0.1
318,0.2491,0.6823,0.1
319,0.2489,0.6825,0.1
320,0.2487,0.6826,0.1
321,0.2485,0.6827,0.1
322,0.2483,0.6829,0.1
323,0.2481,0.6831,0.1
324,0.2476,0.6836,0.1
325,0.2473,0.6842,0.1
326,0.2471,0.6845,0.1
327,0.2468,0.6848,0.1
328,0.2466,0.6852,0.1
329,0.2463,0.6856,0.1
330,0.2461,0.6859,0.1
331,0.2459,0.6861,0.1
332,0.2457,0.6865,0.1
333,0.2453,0.6866,0.1
334,0.2451,0.6866,0.1
335,0.2449,0.6874,0.1
336,0.2445,0.6877,0.1
337,0.2442,0.6883,0.1
338,0.2439,0.6886,0.1
339,0.2437,0.689,0.1
340,0.2435,0.6889,0.1
341,0.243,0.6893,0.1
342,0.2429,0.6896,0.1
343,0.2426,0.69,0.1
344,0.2423,0.69,0.1
345,0.242,0.6904,0.1
346,0.2415,0.6907,0.1
347,0.2415,0.6909,0.1
348,0.2413,0.6912,0.1
349,0.2411,0.6911,0.1
350,0.2409,0.6912,0.1
351,0.2408,0.6913,0.1
352,0.2405,0.6918,0.1
353,0.2402,0.6919,0.1
354,0.2399,0.6924,0.1
355,0.2398,0.6926,0.1
356,0.2396,0.693,0.1
357,0.2395,0.6931,0.1
358,0.2391,0.6936,0.1
359,0.2389,0.6939,0.1
360,0.2386,0.6943,0.1
361,0.2384,0.6945,0.1
362,0.2382,0.6945,0.1
363,0.238,0.6949,0.1
364,0.2376,0.6955,0.1
365,0.2375,0.6956,0.1
366,0.2372,0.6961,0.1
367,0.2368,0.6966,0.1
368,0.2363,0.6972,0.1
369,0.2361,0.6974,0.1
370,0.236,0.6976,0.1
371,0.2358,0.6976,0.1
372,0.2356,0.6977,0.1
373,0.2352,0.698,0.1
374,0.235,0.6982,0.1
375,0.2349,0.6984,0.1
376,0.2347,0.6986,0.1
377,0.2344,0.6989,0.1
378,0.234,0.6993,0.1
379,0.234,0.6995,0.1
380,0.2336,0.6998,0.1
381,0.2334,0.7001,0.1
382,0.2331,0.7003,0.1
383,0.233,0.7005,0.1
384,0.2326,0.7008,0.1
385,0.2324,0.7009,0.1
386,0.2321,0.7011,0.1
387,0.232,0.7015,0.1
388,0.2316,0.702,0.1
389,0.2315,0.7024,0.1
390,0.2312,0.7028,0.1
391,0.231,0.7028,0.1
392,0.231,0.7029,0.1
393,0.2307,0.7031,0.1
394,0.2305,0.7032,0.1
395,0.2302,0.7038,0.1
396,0.23,0.7039,0.1
397,0.2297,0.7042,0.1
398,0.2296,0.7044,0.1
399,0.2293,0.7049,0.1
400,0.2288,0.7051,0.1
401,0.2285,0.7058,0.1
402,0.2283,0.706,0.1
403,0.2282,0.7062,0.1
404,0.2279,0.7065,0.1
405,0.2275,0.7071,0.1
406,0.2273,0.7077,0.1
407,0.227,0.708,0.1
408,0.2267,0.7081,0.1
