,gain
V258,12307.75
V218,11573.23046875
V201,5348.7412109375
V70,4505.38134765625
V91,2390.49169921875
V294,2383.873779296875
V29,1430.128662109375
V69,1252.6072998046875
card6,1071.640380859375
V187,953.7195434570312
C8,801.9298095703125
card6_freq,801.919189453125
C14,741.0477294921875
id_32,677.2724609375
V48,653.2442016601562
V257,614.678955078125
V90,592.5137939453125
V33,585.52734375
V95,572.4888305664062
V308,566.8981323242188
