number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_dropout,params_gamma,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
0,0.6756237574940649,2026-04-09 02:00:54.560990,2026-04-09 02:01:41.806512,0 days 00:00:47.245522,0.6641915784487018,4096,0.17272998688284025,1.8690900933179198,256,0.3102922471479012,10,0.0010401663679887319,0.38493564427131044,3,4.2079886696066345e-06,COMPLETE
1,0.6148491807583603,2026-04-09 02:01:41.806631,2026-04-09 02:02:25.725318,0 days 00:00:43.918687,0.6227680575448478,4096,0.16820964947491662,4.7699849176399995,128,0.5571172192068058,5,0.001095266274863256,0.5430179407605753,3,3.6138942712165278e-06,COMPLETE
2,0.31995501582797375,2026-04-09 02:02:25.725423,2026-04-09 02:03:10.054010,0 days 00:00:44.328587,0.6646990594339345,4096,0.31868411173731187,4.863130824940513,128,0.42938999080000845,10,0.00014653521030672147,0.5080272084711243,3,0.0005456725485601478,COMPLETE
3,0.659736530355708,2026-04-09 02:03:10.054114,2026-04-09 02:04:32.722430,0 days 00:01:22.668316,0.6493234787411669,1024,0.31707843326329943,4.109886413393179,256,0.43567451588694794,10,0.0010370844668954541,0.41237380387495226,3,0.004869640941520904,COMPLETE
4,0.6895332612612811,2026-04-09 02:04:32.722530,2026-04-09 02:06:41.120226,0 days 00:02:08.397696,0.6222454226001083,512,0.23235920994105969,1.89942044772048,256,0.4792328642721363,5,0.00021757649801197563,0.5493192507310232,5,1.0521761868451139e-06,COMPLETE
5,0.7572338540419903,2026-04-09 02:06:41.120329,2026-04-09 02:07:26.878220,0 days 00:00:45.757891,0.611000214990357,4096,0.14315657079732177,3.3638468506870116,256,0.5468977981821954,10,0.003216235469207423,0.3101676506976381,3,7.742116473996245e-05,COMPLETE
6,0.4386296145697802,2026-04-09 02:07:26.878325,2026-04-09 02:08:16.579136,0 days 00:00:49.700811,0.6652995206101125,512,0.4214688307596458,4.5165154932049,512,0.7648488261712865,5,0.0002651795441046286,0.6485842360750871,3,4.3805807679056575e-05,PRUNED
7,0.5358454310023454,2026-04-09 02:08:16.579239,2026-04-09 02:08:35.340351,0 days 00:00:18.761112,0.9300183963693817,4096,0.2350460685614512,1.9544131940933984,512,0.5553736512887828,5,0.00034695916603302916,0.3479461469334731,3,2.7555462077796614e-06,PRUNED
8,0.7874422369261959,2026-04-09 02:08:35.340443,2026-04-09 02:10:00.319924,0 days 00:01:24.979481,0.6838466617334403,1024,0.4633063543866615,1.152026924410504,256,0.6047821669899485,5,0.004477427984113198,0.41145858569464455,3,0.007076022085822006,COMPLETE
9,0.7637071417330017,2026-04-09 02:10:00.320022,2026-04-09 02:11:23.841473,0 days 00:01:23.521451,0.6142712995441674,1024,0.1746074041599417,3.159018244347088,256,0.5678873420373792,10,0.0013865582968261494,0.42831202598869433,5,0.0011129571947046015,COMPLETE
