epoch,train_loss,val_pr,time_s
1,0.03134936873389465,0.552653067575884,10.7
2,0.02360593624276458,0.6183420355364034,9.9
3,0.020578364803327958,0.6836383887383314,11.9
4,0.01876179965831899,0.705529773615987,12.0
5,0.017273716892420594,0.7303699218820332,11.5
6,0.015830862505989047,0.7481985480921572,11.9
7,0.014886660181698336,0.7584002364503709,11.5
8,0.013924957286460149,0.7777798801301099,11.9
9,0.013157722290851173,0.7889125796418228,11.7
10,0.012412372039277473,0.792378706842885,11.9
11,0.011859537278625844,0.7956948155779295,11.9
12,0.01134925554918175,0.8084536133687941,11.5
13,0.010878558985141397,0.8088582913698834,11.8
14,0.010245849903404144,0.8151594895704191,12.1
15,0.009984365902712154,0.8175739014524052,11.7
16,0.009533842831142642,0.8226502408081231,12.1
17,0.00921330511417257,0.822391057089727,11.7
18,0.00892289960160681,0.8253635136532868,12.0
19,0.008602555142428258,0.8317827229388118,11.8
20,0.00832117585719368,0.830138100767227,11.8
21,0.008082456509557889,0.8382894722255159,11.6
22,0.007849732434546614,0.8369744122124719,11.9
23,0.007591956626173019,0.8351328230766376,11.8
24,0.007461895923261548,0.8401125724288708,11.5
25,0.007181389748574263,0.8394336979740449,11.8
26,0.007110863315055312,0.8412638355596997,11.7
27,0.006866944348877102,0.8367492084068214,11.8
28,0.00672985739901397,0.8412403278451384,11.9
29,0.006558293955122236,0.8380425165963109,11.6
30,0.006391667865755651,0.842936961141291,11.8
31,0.006211848722520153,0.8408822274824902,11.7
32,0.006053458069746281,0.8400402362374397,11.5
33,0.006040116592298539,0.8467857155966749,11.9
34,0.005959644488257003,0.8456072627128035,11.6
35,0.005724064745354,0.8461160824788816,11.6
36,0.0056961549320269644,0.8479824091487375,11.5
37,0.00561387834629584,0.8433367503745955,11.6
38,0.0054780583080923815,0.8495625949759371,11.7
39,0.005374792536462185,0.8489823300892707,12.3
40,0.00533328877244849,0.8494394937914406,10.6
