epoch,train_loss,val_pr,time_s
1,0.0308773824397921,0.5634139013503224,12.0
2,0.0231438684864829,0.6277204755607998,12.2
3,0.02020654875271323,0.6852221031761255,12.1
4,0.01831483501702542,0.7123243017341093,11.8
5,0.01678017467384063,0.733983259758527,11.5
6,0.015580136980626645,0.7568058948379923,12.1
7,0.0145741619224167,0.7756279875269184,11.7
8,0.013690461455037365,0.7854378120987787,11.5
9,0.012854016747830538,0.7944990148901837,11.7
10,0.012263529690558281,0.7984344276602127,11.7
11,0.011564166188483648,0.7999687212527545,11.7
12,0.011118431107562598,0.808390886149459,10.9
13,0.010540644162147965,0.8090139781483052,11.9
14,0.010214024646349382,0.812012801028661,11.9
15,0.009722208636569401,0.8251628108707989,11.6
16,0.009401590266689427,0.8183989381173505,12.0
17,0.009072441751564709,0.8251199102182242,11.7
18,0.008654561170399366,0.8286604614695252,11.8
19,0.008378256829991469,0.8276259781281323,11.9
20,0.0082344810359893,0.8355577269183261,11.9
21,0.007942676190595067,0.8330879236800766,11.9
22,0.007726202265855716,0.8366371795822403,11.2
23,0.007547224043701567,0.8353038397290482,10.8
24,0.007308575929153363,0.8381110850755683,11.8
25,0.007052065191574594,0.8395139591335825,11.4
26,0.006784806924554508,0.8464045310873446,11.9
27,0.006694021562144034,0.8445559121351468,11.1
28,0.006582519866430748,0.8440636323093058,11.5
29,0.006426938173756502,0.8431679279617008,11.7
30,0.006347049380888379,0.8464699362711638,11.9
31,0.0053972550567473795,0.8526874134862299,11.8
32,0.004975097548908528,0.8528167725335419,10.1
33,0.004819550769856655,0.8527776998982325,9.1
34,0.0048034339436574805,0.8517815244080614,9.2
35,0.004498042867908136,0.852376816392117,10.4
36,0.0044550046565234305,0.8527328435152682,11.6
37,0.0041458916222218475,0.8539857935129952,12.0
38,0.004028742507957018,0.8547167736505586,10.3
39,0.003836736534339019,0.8524397812286516,10.7
40,0.003938271035609847,0.8536447329583643,10.0
