epoch,train_loss,val_pr,time_s
1,0.03324660980832141,0.553644339485096,11.6
2,0.023469374731908927,0.6283512238454825,11.8
3,0.02048530207206941,0.68113109473071,11.9
4,0.01857082444436491,0.7046952122571384,11.8
5,0.01710283834262449,0.7265369483726296,11.7
6,0.015796702344095352,0.749274922927832,11.8
7,0.014797897242953951,0.7581342459420788,11.7
8,0.013885613407012132,0.779985622900489,11.9
9,0.01300621370814687,0.7842008634204961,11.7
10,0.012339703805598977,0.7931212316334268,11.6
11,0.01180357885461927,0.7969465192913301,11.6
12,0.011228773546689936,0.8055239266832862,11.5
13,0.010768458013776029,0.8129420764929183,12.1
14,0.010321557278505608,0.8165840605685102,11.9
15,0.00992650256712448,0.8216941663884565,11.9
16,0.009541660021907452,0.8211552314657714,12.0
17,0.0090839047038329,0.8228852216629794,11.7
18,0.00880764305432705,0.8261942439973173,11.8
19,0.008515615713193573,0.8224774696964757,11.7
20,0.008223327153785036,0.8249747026461681,11.9
21,0.007992271111108012,0.8275690870172153,12.0
22,0.0077419543940677365,0.8271138139508821,11.8
23,0.007528880083662396,0.8307150734063008,12.2
24,0.007325935704745488,0.828900098596252,11.8
25,0.007176540997621609,0.8294099887405106,11.5
26,0.006883635185170052,0.8298833978886373,11.7
27,0.006795705072142801,0.836165935043626,11.7
28,0.006667529935267539,0.8357085308844978,11.7
29,0.0064386995663776635,0.8350640880040716,11.6
30,0.006240221788383622,0.8353464144801154,11.7
31,0.006154869103571709,0.8379603312221597,11.6
32,0.006163069450144044,0.835988696420881,11.9
33,0.005894222968100944,0.8363815682114306,12.0
34,0.0058158140783223615,0.8388444270589169,11.8
35,0.00564473110545263,0.8363619430181196,11.9
36,0.005596383189212912,0.8445709330815997,11.7
37,0.005484736479219576,0.846781980731291,11.8
38,0.005366327233938872,0.8436906312283848,12.0
39,0.005359106324092082,0.8443048133095955,11.5
40,0.005256135989578834,0.8466757670918224,11.7
