number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
13,0.6429354082813961,2026-04-06 03:12:04.017414,2026-04-06 03:12:18.362048,0 days 00:00:14.344634,4096,512,0.6898121288255383,5,0.000571654483748683,0.5561727601738722,5,0.005038797731522132,PRUNED
14,0.6217286047586661,2026-04-06 03:12:18.362140,2026-04-06 03:12:32.764554,0 days 00:00:14.402414,4096,512,0.4955050324900655,5,0.003211172259459262,0.44916060312310385,3,9.735125945191665e-05,PRUNED
15,0.6840226680797732,2026-04-06 03:12:32.764653,2026-04-06 03:13:33.007519,0 days 00:01:00.242866,512,512,0.6076148237448098,10,0.0010664010515143776,0.6178581456448355,5,0.00019357668772813382,PRUNED
16,0.628176255183759,2026-04-06 03:13:33.007617,2026-04-06 03:13:45.665788,0 days 00:00:12.658171,4096,128,0.7886332327975392,5,0.002717170150339781,0.5286659705769167,5,0.002197050042631913,PRUNED
17,0.6992117057585128,2026-04-06 03:13:45.665879,2026-04-06 03:14:29.265130,0 days 00:00:43.599251,1024,512,0.7049270847777602,10,0.0003609718113004431,0.4103867935467328,3,4.802586909778857e-06,PRUNED
18,0.7220354000461692,2026-04-06 03:14:29.265223,2026-04-06 03:15:07.913226,0 days 00:00:38.648003,4096,512,0.6137099133074838,10,0.0009457165405594029,0.4910684042579002,3,0.0005036198074063431,COMPLETE
19,0.6370744542994922,2026-04-06 03:15:07.913333,2026-04-06 03:15:38.545349,0 days 00:00:30.632016,512,512,0.47455198366464996,5,0.00025089261984725047,0.6262919349238172,5,0.0015770889908879927,PRUNED
20,0.605555312869508,2026-04-06 03:15:38.545438,2026-04-06 03:15:51.163486,0 days 00:00:12.618048,4096,128,0.5386569568312403,10,0.006884747554896621,0.5221005522216533,3,9.509907772784554e-05,PRUNED
21,0.6157532364647952,2026-04-06 03:15:51.163577,2026-04-06 03:16:05.548015,0 days 00:00:14.384438,4096,512,0.6179270524560304,10,0.0008127842365481074,0.47703695981454153,3,0.0004888719508055678,PRUNED
22,0.7304798591002168,2026-04-06 03:16:05.548103,2026-04-06 03:16:44.210877,0 days 00:00:38.662774,4096,512,0.59852233751972,10,0.001390293411942232,0.5096183749033755,3,0.003936261043387285,COMPLETE
23,0.6427859165594646,2026-04-06 03:16:44.210983,2026-04-06 03:16:58.636700,0 days 00:00:14.425717,4096,512,0.6724164824945201,10,0.0014512888415057121,0.5277644208168755,3,0.006170625978557929,PRUNED
24,0.6181342809733524,2026-04-06 03:16:58.636791,2026-04-06 03:17:13.000870,0 days 00:00:14.364079,4096,512,0.5849527378148703,10,0.002781414603454354,0.44910213815739175,3,0.0028145062265073437,PRUNED
25,0.7455153604202698,2026-04-06 03:17:13.000966,2026-04-06 03:18:11.391510,0 days 00:00:58.390544,1024,512,0.7339247420094558,10,0.0014178097371084447,0.5993115178445414,3,0.003909219590231882,COMPLETE
26,0.7461432130597447,2026-04-06 03:18:11.391615,2026-04-06 03:19:09.302225,0 days 00:00:57.910610,1024,512,0.756088124366642,10,0.0008181095281787279,0.6122868135033307,3,0.001041144521233157,COMPLETE
27,0.7299260029054309,2026-04-06 03:19:09.302324,2026-04-06 03:20:07.920420,0 days 00:00:58.618096,1024,512,0.7403223542161003,10,0.0006485288043879795,0.6117518353842297,3,0.0010067255604867095,COMPLETE
28,0.5548312145717,2026-04-06 03:20:07.920519,2026-04-06 03:20:28.552539,0 days 00:00:20.632020,1024,128,0.7954888318934104,10,0.0003977559371322451,0.6472394772122599,3,0.00022939753571110343,PRUNED
29,0.6559116186642416,2026-04-06 03:20:28.552629,2026-04-06 03:20:58.689614,0 days 00:00:30.136985,1024,512,0.30453328114608746,10,0.0012872762036339215,0.5944805370713796,3,8.74327102448024e-06,PRUNED
