epoch,train_loss,val_pr,time_s
1,0.0251064435881328,0.5867079642211516,8.1
2,0.019308685080718986,0.6467455388845252,8.2
3,0.01661122503359637,0.6848693313687962,8.3
4,0.01470708934977102,0.7244108600361869,8.0
5,0.013144954557698202,0.7362825752670031,8.2
6,0.011932669014923661,0.7625580247661348,8.1
7,0.010767190553845167,0.7650205209964175,8.1
8,0.01004977492903117,0.7714540217314154,8.1
9,0.009313590151660526,0.7795696218793938,7.8
10,0.008595036118637798,0.779650968731229,7.8
11,0.008070979129568504,0.7805701613015433,7.9
12,0.007578207627212554,0.7746049628431546,7.8
13,0.007283289689168703,0.7902932616436384,7.8
14,0.006920919939738401,0.7786303499723887,7.9
15,0.006459677826289135,0.7909553741230563,8.1
16,0.006282362821681958,0.7837072047650908,7.8
17,0.006072684255133772,0.7668644194155309,8.1
18,0.005704703737522955,0.7888049566310733,8.0
19,0.005536734884555328,0.7899001013728103,7.9
20,0.005336844480011973,0.7842937942407927,8.2
21,0.005191643462051334,0.7844137851177001,8.2
22,0.004028744691660397,0.7955081867691011,8.0
23,0.0036320961003118374,0.7974199746231803,7.9
24,0.0035133985906595686,0.7867929283027982,7.9
25,0.0033959135621166674,0.8014427130942573,7.9
26,0.0033156331556549764,0.79721896405813,8.1
27,0.003248893839320887,0.796370815696738,7.9
28,0.0032184753739413117,0.8006701593119186,7.8
29,0.0030790855693940632,0.7973915392299806,7.7
30,0.003038458819951946,0.800653212718713,8.0
31,0.0030265647238391273,0.794611197634131,8.0
32,0.0026566221584987,0.7971389698212098,7.9
33,0.002565875182089698,0.794179513497987,7.8
34,0.002447827550334812,0.7956119718778627,8.1
35,0.0024244931235736906,0.7961474309888178,7.6
36,0.002425859563257085,0.7912092371992617,7.9
37,0.0023436657623085843,0.795538080670274,7.2
38,0.0022611282674345683,0.7940876014547387,6.8
39,0.0021899730424707145,0.796691940637299,6.8
40,0.0021908307805763617,0.795974378166495,6.8
