round,train_logloss,val_pr_auc,time_s
202,0.2843,0.6386,0.1
203,0.2836,0.6394,0.1
204,0.2833,0.6399,0.1
205,0.2832,0.6401,0.1
206,0.2828,0.6403,0.1
207,0.2824,0.6407,0.1
208,0.2821,0.6412,0.1
209,0.2817,0.642,0.1
210,0.2812,0.6425,0.1
211,0.2808,0.6426,0.1
212,0.2804,0.6429,0.1
213,0.2801,0.6433,0.1
214,0.2796,0.6441,0.1
215,0.2792,0.6447,0.1
216,0.2787,0.6451,0.1
217,0.278,0.646,0.1
218,0.2778,0.6463,0.1
219,0.277,0.6469,0.1
220,0.2767,0.6476,0.1
221,0.2763,0.648,0.1
222,0.276,0.6484,0.1
223,0.2758,0.6486,0.1
224,0.2755,0.6491,0.1
225,0.275,0.6494,0.1
226,0.2745,0.6498,0.1
227,0.2741,0.6504,0.1
228,0.2736,0.6509,0.1
229,0.2731,0.6515,0.1
230,0.2728,0.6518,0.1
231,0.2728,0.6521,0.1
232,0.2725,0.6521,0.1
233,0.272,0.6523,0.1
234,0.2718,0.6526,0.1
235,0.2713,0.6527,0.1
236,0.271,0.6533,0.1
237,0.2707,0.6537,0.1
238,0.2705,0.6537,0.1
239,0.2704,0.6538,0.1
240,0.2702,0.654,0.1
241,0.27,0.6544,0.1
242,0.2698,0.6546,0.1
243,0.2695,0.655,0.1
244,0.269,0.6552,0.1
245,0.2686,0.6554,0.1
246,0.2685,0.6554,0.1
247,0.268,0.6561,0.1
248,0.2676,0.6563,0.1
249,0.2675,0.6565,0.1
250,0.2673,0.6567,0.1
251,0.2672,0.6569,0.1
252,0.2667,0.6574,0.1
253,0.2665,0.6577,0.1
254,0.2662,0.6583,0.1
255,0.2658,0.6588,0.1
256,0.2656,0.6593,0.1
257,0.2651,0.6597,0.1
258,0.2649,0.6599,0.1
259,0.2644,0.6603,0.1
260,0.2642,0.6606,0.1
261,0.2637,0.6613,0.1
262,0.2636,0.6613,0.1
263,0.2632,0.6616,0.1
264,0.2628,0.6622,0.1
265,0.2625,0.6624,0.1
266,0.2623,0.6626,0.1
267,0.2616,0.6631,0.1
