epoch,train_loss,val_pr,time_s
1,0.8049594328372855,0.5675488861314669,18.6
2,0.6351777125682632,0.6419414844155531,18.8
3,0.5430822260626167,0.6554187387871038,19.2
4,0.4725899378420305,0.7063731752251526,19.3
5,0.4162409569310412,0.7387290546488628,19.1
6,0.3711848223175418,0.7499791034603264,19.1
7,0.33088282749808084,0.7568027876914462,19.0
8,0.29909246823119473,0.762051592619089,19.2
9,0.2711049198653088,0.7786159788661807,19.0
10,0.2515552301403863,0.7957001584838472,19.1
11,0.22779379513070053,0.7812174030132426,18.8
12,0.21011348189902795,0.7964223675489387,19.3
13,0.1970168970036085,0.7940126054729195,19.1
14,0.1799115335187329,0.8066767307173907,19.1
15,0.17220062146063583,0.8041526060765612,19.2
16,0.15885630991491578,0.8020445195513999,19.2
17,0.146526246719115,0.8115332646639988,19.3
18,0.13981481667588302,0.8087006390763855,19.0
19,0.13290833130972185,0.8131082902406411,19.0
20,0.12297962636328444,0.8144877227600001,19.1
21,0.1191691683566191,0.8135271856663917,19.2
22,0.10706969792500388,0.8115729872277851,19.1
23,0.10255200683767039,0.8111721633977046,18.9
24,0.09903214679147918,0.8248846687215219,18.8
25,0.09749560113074926,0.8294528470561836,18.1
26,0.09115853156719733,0.8215456561921171,18.3
27,0.08406491727304602,0.8259987888048759,18.0
28,0.08702494930886097,0.8216888686845916,19.1
29,0.07931460046519655,0.8232962237815125,18.8
30,0.07312523288596233,0.8260561514401442,18.6
31,0.071271582685813,0.8292178208094981,19.1
32,0.050922354681060315,0.8367563306185817,18.4
33,0.0408740982094408,0.8373199832143847,19.1
34,0.039058576356473994,0.8369419435587193,19.1
35,0.03599935273139385,0.8411557153395296,19.0
36,0.03581869138931878,0.8342418313694321,18.9
37,0.03639760446231844,0.8408242575952771,19.0
38,0.03421763376443001,0.8411631204042006,18.6
39,0.030806143380956406,0.8398717724543796,17.7
40,0.030423106860717107,0.8395616066411529,17.8
